Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage_0,Amplitude - Voltage_0,Time - Voltage,Amplitude - Voltage,Time - Voltage_0,Amplitude - Voltage_0,Time - Voltage,Amplitude - Voltage,Time - Voltage_0,Amplitude - Voltage_0
0.1,0.00169628,0.1,0.00143341,0.1,0.0183178,0.1,0.034314,0.1,0.0092994,0.1,0.00890443,0.1,0.00916774,0.1,0.009069,0.1,0.00903609,0.1,0.0239132,0.1,0.0241765
0.101,0.00172919,0.101,0.00142682,0.101,0.0194698,0.101,0.0343469,0.101,0.00936523,0.101,0.00910192,0.101,0.0092994,0.101,0.00913483,0.101,0.00831198,0.101,0.0238803,0.101,0.0229258
0.102,0.00172919,0.102,0.00144,0.102,0.0197331,0.102,0.0330962,0.102,0.00903609,0.102,0.009069,0.102,0.009069,0.102,0.00916774,0.102,0.00857529,0.102,0.0238803,0.102,0.0240119
0.103,0.00169628,0.103,0.00142682,0.103,0.020161,0.103,0.0337544,0.103,0.00870695,0.103,0.009069,0.103,0.00877278,0.103,0.00920066,0.103,0.00910192,0.103,0.0239461,0.103,0.0246044
0.104,0.00176211,0.104,0.00144,0.104,0.0202268,0.104,0.0341494,0.104,0.00926649,0.104,0.009069,0.104,0.00900318,0.104,0.00920066,0.104,0.00913483,0.104,0.023979,0.104,0.0246702
0.105,0.00169628,0.105,0.00144659,0.105,0.0185153,0.105,0.0344786,0.105,0.00939814,0.105,0.00910192,0.105,0.00923357,0.105,0.00910192,0.105,0.00916774,0.105,0.0239461,0.105,0.0236499
0.106,0.00172919,0.106,0.00144,0.106,0.0192723,0.106,0.0345773,0.106,0.00946397,0.106,0.00923357,0.106,0.00946397,0.106,0.00897026,0.106,0.00936523,0.106,0.0239461,0.106,0.023979
0.107,0.00169628,0.107,0.00145977,0.107,0.0199964,0.107,0.0333595,0.107,0.0095298,0.107,0.00913483,0.107,0.00946397,0.107,0.00893735,0.107,0.00804867,0.107,0.0239461,0.107,0.0241436
0.108,0.00169628,0.108,0.00143341,0.108,0.0203585,0.108,0.0338203,0.108,0.00880569,0.108,0.009069,0.108,0.00923357,0.108,0.00897026,0.108,0.00873986,0.108,0.0240448,0.108,0.0244069
0.109,0.00169628,0.109,0.00145318,0.109,0.0191407,0.109,0.0344786,0.109,0.00854238,0.109,0.00923357,0.109,0.00867404,0.109,0.009069,0.109,0.00900318,0.109,0.0240119,0.109,0.0230245
0.11,0.00169628,0.11,0.00144,0.11,0.0196015,0.11,0.0341823,0.11,0.00946397,0.11,0.00926649,0.11,0.00910192,0.11,0.00903609,0.11,0.00936523,0.11,0.0240119,0.11,0.0239132
0.111,0.00176211,0.111,0.00144659,0.111,0.019766,0.111,0.0341165,0.111,0.00887152,0.111,0.00910192,0.111,0.00939814,0.111,0.00910192,0.111,0.00946397,0.111,0.0240119,0.111,0.0238474
0.112,0.00172919,0.112,0.00144,0.112,0.0198319,0.112,0.0331949,0.112,0.00936523,0.112,0.009069,0.112,0.00943106,0.112,0.009069,0.112,0.00966145,0.112,0.0240119,0.112,0.0243411
0.113,0.00169628,0.113,0.00143341,0.113,0.0198319,0.113,0.0343469,0.113,0.00966145,0.113,0.00903609,0.113,0.00939814,0.113,0.00913483,0.113,0.00949688,0.113,0.023979,0.113,0.0236499
0.114,0.00172919,0.114,0.00144,0.114,0.018647,0.114,0.0346431,0.114,0.00900318,0.114,0.009069,0.114,0.00913483,0.114,0.00913483,0.114,0.00801576,0.114,0.023979,0.114,0.0238474
0.115,0.00172919,0.115,0.00144659,0.115,0.0187457,0.115,0.0344456,0.115,0.00916774,0.115,0.00900318,0.115,0.00854238,0.115,0.009069,0.115,0.009069,0.115,0.023979,0.115,0.0243411
0.116,0.00172919,0.116,0.00145977,0.116,0.0199964,0.116,0.0334253,0.116,0.00923357,0.116,0.00887152,0.116,0.00887152,0.116,0.009069,0.116,0.00949688,0.116,0.0239132,0.116,0.0244727
0.117,0.00169628,0.117,0.00145318,0.117,0.0198977,0.117,0.0341165,0.117,0.00916774,0.117,0.00897026,0.117,0.00946397,0.117,0.00913483,0.117,0.00985894,0.117,0.0240119,0.117,0.0238144
